frame,time_sec,people_count,track_id,x1,y1,x2,y2,centre_x,centre_y,distance_px,speed_px_per_second
0,0.000000,22,1,940.013062,160.483521,1032.571777,213.777649,986.292419,187.130585,,
0,0.000000,22,2,990.918823,95.228500,1076.938110,146.455978,1033.928467,120.842239,,
0,0.000000,22,3,907.531860,230.572083,1011.619751,276.032654,959.575806,253.302368,,
0,0.000000,22,4,344.224121,189.386658,413.060791,242.151184,378.642456,215.768921,,
0,0.000000,22,5,702.884766,171.821472,766.883057,235.709015,734.883911,203.765244,,
0,0.000000,22,6,519.744385,21.712097,560.971558,87.240814,540.357971,54.476456,,
0,0.000000,22,7,1035.441162,202.110504,1148.807373,251.276794,1092.124268,226.693649,,
0,0.000000,22,8,281.236206,8.655220,350.151001,74.216805,315.693604,41.436012,,
0,0.000000,22,9,264.008301,234.885376,336.050781,282.434204,300.029541,258.659790,,
0,0.000000,22,10,766.907593,130.303314,826.638306,184.067810,796.772949,157.185562,,
0,0.000000,22,11,217.337067,188.270844,316.914764,239.783905,267.125916,214.027374,,
0,0.000000,22,12,253.711090,108.994904,331.628754,165.162750,292.669922,137.078827,,
0,0.000000,22,13,177.048401,26.218826,273.069641,82.451080,225.059021,54.334953,,
0,0.000000,22,14,1028.655396,158.254211,1139.779419,216.985840,1084.217407,187.620026,,
0,0.000000,22,15,394.573792,245.802185,454.158386,284.301331,424.366089,265.051758,,
0,0.000000,22,16,204.638977,69.115173,294.331055,118.881958,249.485016,93.998566,,
0,0.000000,22,17,1090.028564,40.083908,1172.973389,86.895035,1131.500977,63.489471,,
0,0.000000,22,18,479.284668,109.978775,523.952698,169.233841,501.618683,139.606308,,
0,0.000000,22,19,525.522522,119.593719,589.589050,165.113068,557.555786,142.353394,,
0,0.000000,22,20,379.664490,133.996918,438.016052,184.163788,408.840271,159.080353,,
0,0.000000,22,21,16.615402,246.129456,153.630173,292.173035,85.122787,269.151245,,
0,0.000000,22,22,538.038574,254.567200,664.638672,292.295593,601.338623,273.431396,,
1,0.033319,22,1,938.491882,161.397018,1028.938843,213.440613,983.715363,187.418816,2.593125,77.827472
1,0.033319,22,2,988.799377,95.857307,1074.396240,146.804489,1031.597809,121.330898,2.381335,71.470993
1,0.033319,22,3,906.489502,230.713898,1008.938843,275.457275,957.714172,253.085587,1.874213,56.250742
1,0.033319,22,4,342.499420,189.656067,412.559387,243.338776,377.529404,216.497421,1.330263,39.925169
1,0.033319,22,5,699.041199,171.724976,763.381531,235.963104,731.211365,203.844040,3.673392,110.249502
1,0.033319,22,6,520.109375,21.126549,562.213623,88.055595,541.161499,54.591072,0.811661,24.360387
1,0.033319,22,7,1033.150391,203.109543,1147.239380,252.608749,1090.194885,227.859146,2.254085,67.651852
1,0.033319,22,8,280.400055,8.571576,349.223816,74.038391,314.811935,41.304984,0.891351,26.752126
1,0.033319,22,9,263.801361,236.392532,333.803009,282.532501,298.802185,259.462517,1.466551,44.015606
1,0.033319,22,10,766.571289,130.998398,826.405334,184.900467,796.488312,157.949432,0.815179,24.465957
1,0.033319,22,11,218.561127,187.599808,318.658661,239.402481,268.609894,213.501144,1.574519,47.256032
1,0.033319,22,12,253.469650,108.153992,331.386841,164.365616,292.428246,136.259804,0.853936,25.629175
1,0.033319,22,13,175.327499,26.278263,272.642212,83.284477,223.984856,54.781370,1.163237,34.912218
1,0.033319,22,14,1023.252686,158.590057,1136.076294,218.185806,1079.664490,188.387932,4.617222,138.576679
1,0.033319,22,15,391.560608,245.579865,450.758179,283.874512,421.159393,264.727188,3.223080,96.734287
1,0.033319,22,16,197.677231,69.444298,294.085663,123.070129,245.881447,96.257214,4.252905,127.642435
1,0.033319,22,17,1091.091919,40.370659,1173.552612,86.889023,1132.322266,63.629841,0.833198,25.006779
1,0.033319,22,18,482.014282,109.624870,525.789185,167.656082,503.901733,138.640476,2.478941,74.400470
1,0.033319,22,19,527.907898,119.222038,591.331055,164.291504,559.619476,141.756771,2.148203,64.474013
1,0.033319,22,20,384.061462,133.194214,442.298370,183.207565,413.179916,158.200890,4.427864,132.893475
1,0.033319,22,21,15.835279,246.565826,150.570557,291.808044,83.202918,269.186935,1.920201,57.630997
1,0.033319,22,22,535.355713,253.784546,664.261414,292.254120,599.808563,273.019333,1.584575,47.557864
2,0.066638,21,1,935.256531,161.744064,1025.927612,213.844482,980.592072,187.794273,3.145777,94.414216
2,0.066638,21,2,986.451782,96.524849,1072.239624,147.511810,1029.345703,122.018330,2.354685,70.671164
